C:\Users\K-razy\Desktop\Data\IMG\center_2020_06_13_12_36_00_200.jpg, C:\Users\K-razy\Desktop\Data\IMG\left_2020_06_13_12_36_00_200.jpg, C:\Users\K-razy\Desktop\Data\IMG\right_2020_06_13_12_36_00_200.jpg, 0, 0, 0, 7.813094E-05
C:\Users\K-razy\Desktop\Data\IMG\center_2020_06_13_12_36_00_302.jpg, C:\Users\K-razy\Desktop\Data\IMG\left_2020_06_13_12_36_00_302.jpg, C:\Users\K-razy\Desktop\Data\IMG\right_2020_06_13_12_36_00_302.jpg, 0, 0, 0, 7.751224E-05
C:\Users\K-razy\Desktop\Data\IMG\center_2020_06_13_12_36_00_404.jpg, C:\Users\K-razy\Desktop\Data\IMG\left_2020_06_13_12_36_00_404.jpg, C:\Users\K-razy\Desktop\Data\IMG\right_2020_06_13_12_36_00_404.jpg, 0, 0, 0, 7.974105E-05
C:\Users\K-razy\Desktop\Data\IMG\center_2020_06_13_12_36_00_507.jpg, C:\Users\K-razy\Desktop\Data\IMG\left_2020_06_13_12_36_00_507.jpg, C:\Users\K-razy\Desktop\Data\IMG\right_2020_06_13_12_36_00_507.jpg, 0, 0, 0, 7.779769E-05
C:\Users\K-razy\Desktop\Data\IMG\center_2020_06_13_12_36_00_611.jpg, C:\Users\K-razy\Desktop\Data\IMG\left_2020_06_13_12_36_00_611.jpg, C:\Users\K-razy\Desktop\Data\IMG\right_2020_06_13_12_36_00_611.jpg, 0, 0, 0, 7.867254E-05
C:\Users\K-razy\Desktop\Data\IMG\center_2020_06_13_12_36_00_713.jpg, C:\Users\K-razy\Desktop\Data\IMG\left_2020_06_13_12_36_00_713.jpg, C:\Users\K-razy\Desktop\Data\IMG\right_2020_06_13_12_36_00_713.jpg, 0, 0, 0, 7.85813E-05
C:\Users\K-razy\Desktop\Data\IMG\center_2020_06_13_12_36_00_813.jpg, C:\Users\K-razy\Desktop\Data\IMG\left_2020_06_13_12_36_00_813.jpg, C:\Users\K-razy\Desktop\Data\IMG\right_2020_06_13_12_36_00_813.jpg, 0, 0, 0, 7.904153E-05
C:\Users\K-razy\Desktop\Data\IMG\center_2020_06_13_12_36_00_915.jpg, C:\Users\K-razy\Desktop\Data\IMG\left_2020_06_13_12_36_00_915.jpg, C:\Users\K-razy\Desktop\Data\IMG\right_2020_06_13_12_36_00_915.jpg, 0, 0, 0, 7.947123E-05
C:\Users\K-razy\Desktop\Data\IMG\center_2020_06_13_12_36_01_016.jpg, C:\Users\K-razy\Desktop\Data\IMG\left_2020_06_13_12_36_01_016.jpg, C:\Users\K-razy\Desktop\Data\IMG\right_2020_06_13_12_36_01_016.jpg, 0, 0, 0, 7.785791E-05
C:\Users\K-razy\Desktop\Data\IMG\center_2020_06_13_12_36_01_117.jpg, C:\Users\K-razy\Desktop\Data\IMG\left_2020_06_13_12_36_01_117.jpg, C:\Users\K-razy\Desktop\Data\IMG\right_2020_06_13_12_36_01_117.jpg, 0, 0, 0, 7.941679E-05
